id,업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률,개월수_r,가맹점수_r,평균매출액_r,창업비용_r,개점률_r,폐점률_r,레이블
1,주점,1943,23,45,1536915,181000,100,0,0.025688073,0.013021604,0.424916519,0.220194647,1,0,5
2,기타 외식,101번지 남산돈까스,61,14,310957,122780,85,0,0.095412844,0.003847292,0.085970759,0.149367397,0.85,0,3
3,한식,123막창,54,26,354106,93500,38,7,0.082568807,0.007398639,0.097900344,0.113746959,0.38,0.07,1
4,분식,135튀김집,36,13,243360,75000,53,23,0.049541284,0.003551347,0.067281932,0.091240876,0.53,0.23,3
5,한식,153포인츠(POINTZ),83,9,355533,87510,0,0,0.135779817,0.002367564,0.098294873,0.106459854,0,0,1
6,패스트푸드,1830피자,38,5,194673,69850,20,0,0.053211009,0.001183782,0.053821233,0.084975669,0.2,0,1
7,치킨,1987금빛통닭,52,7,173714,78890,0,57,0.078899083,0.001775673,0.04802661,0.095973236,0,0.57,0
8,카페,19티(TEA),42,48,119268,64950,60,6,0.060550459,0.013909441,0.032973696,0.079014599,0.6,0.06,3
9,카페,1LiTER COFFEE,67,8,101291,62510,12,0,0.106422018,0.002071619,0.028003519,0.076046229,0.12,0,1
10,주점,1도씨맥주(1℃ 맥주),38,22,167184,62700,31,22,0.053211009,0.006214856,0.046221234,0.076277372,0.31,0.22,1
11,한식,1인 한식당,25,39,12345,60450,100,23,0.029357798,0.011245931,0.003412245,0.073540146,1,0.23,3
12,한식,1인자감자탕,178,30,521677,75500,3,3,0.310091743,0.008582421,0.144229403,0.091849148,0.03,0.03,4
13,중/일식,25센치,31,26,414671,71500,92,0,0.040366972,0.007398639,0.114645004,0.086982968,0.92,0,3
14,중/일식,25카츠,99,23,350933,82300,0,17,0.165137615,0.006510802,0.097023092,0.100121655,0,0.17,1
15,기타 외식,2代맛태,49,8,485500,91650,87,62,0.073394495,0.002071619,0.134227396,0.11149635,0.87,0.62,0
16,주점,2도맥주 (2°C BEER),52,61,183992,66000,16,13,0.078899083,0.017756733,0.050868212,0.080291971,0.16,0.13,1
17,기타 외식,33떡볶이,52,40,250807,50990,32,5,0.078899083,0.011541876,0.069340836,0.06203163,0.32,0.05,1
18,주점,3883 팔도실비집,64,45,238105,73400,51,37,0.100917431,0.013021604,0.06582906,0.089294404,0.51,0.37,1
19,한식,39℃락,25,9,104162,69430,100,0,0.029357798,0.002367564,0.028797276,0.08446472,1,0,3
20,한식,3일국밥,64,8,229273,75800,37,75,0.100917431,0.002071619,0.06338724,0.092214112,0.37,0.75,0
21,한식,5.5닭갈비,165,60,73164,74700,6,5,0.286238532,0.017460787,0.020227129,0.090875912,0.06,0.05,4
22,기타 외식,55온족발,98,18,143296,78750,11,16,0.163302752,0.005031074,0.039616818,0.09580292,0.11,0.16,1
23,패스트푸드,59피자(오구피자),153,523,126663,53900,2,8,0.264220183,0.154483575,0.035018222,0.065571776,0.02,0.08,4
24,치킨,60계,64,440,526522,97700,41,0,0.100917431,0.129920095,0.14556892,0.118856448,0.41,0,1
25,주점,700beer,152,49,177620,129514,4,26,0.262385321,0.014205386,0.049106518,0.157559611,0.04,0.26,4
26,기타 외식,79네수육국밥,76,29,555825,110600,34,3,0.12293578,0.008286475,0.153670444,0.134549878,0.34,0.03,1
27,주점,79대포,82,61,258630,69320,49,9,0.133944954,0.017756733,0.071503693,0.0843309,0.49,0.09,1
28,패스트푸드,7번가피자,289,185,237440,85500,7,4,0.513761468,0.05445398,0.065645205,0.104014599,0.07,0.04,4
29,치킨,836숯불바베큐치킨,58,14,123678,35660,14,14,0.089908257,0.003847292,0.034192947,0.043381995,0.14,0.14,1
30,치킨,8800켄터키치킨,81,61,218658,32800,19,3,0.132110092,0.017756733,0.060452467,0.039902676,0.19,0.03,1
31,한식,88선수촌,12,15,522572,87700,100,26,0.005504587,0.004143238,0.144476847,0.106690998,1,0.26,3
32,한식,88콩나물국밥,58,7,258174,59200,42,14,0.089908257,0.001775673,0.071377621,0.072019465,0.42,0.14,1
33,치킨,94번가,95,22,183251,109450,4,40,0.157798165,0.006214856,0.050663345,0.133150852,0.04,0.4,0
34,카페,9cafe,54,9,141591,80900,0,11,0.082568807,0.002367564,0.039145429,0.098418491,0,0.11,1
35,카페,CAFE 설렘주의보,24,15,127383,51050,100,0,0.027522936,0.004143238,0.035217284,0.062104623,1,0,3
36,카페,cafe051(카페051),63,61,195043,59100,65,0,0.099082569,0.017756733,0.053923528,0.07189781,0.65,0,3
37,카페,cafe65℃,82,14,166191,58420,7,7,0.133944954,0.003847292,0.045946695,0.07107056,0.07,0.07,1
38,치킨,DDC치킨,47,29,40918,45665,20,24,0.069724771,0.008286475,0.011311942,0.055553528,0.2,0.24,1
39,치킨,DK Chicken (디케이치킨),38,86,198937,46500,91,3,0.053211009,0.025155371,0.055000119,0.056569343,0.91,0.03,3
40,중/일식,DON돈까츠,39,6,203350,81900,16,0,0.055045872,0.001479728,0.0562202,0.099635036,0.16,0,1
41,기타 외국식,Emoi(에머이),53,76,465465,92835,5,42,0.080733945,0.022195916,0.128688235,0.112937956,0.05,0.42,0
42,카페,fave,11,2,406008,145300,100,0,0.003669725,0.000295946,0.112249908,0.17676399,1,0,3
43,기타 외식,jay coffee,59,6,121404,117500,16,50,0.091743119,0.001479728,0.033564245,0.142944039,0.16,0.5,0
44,한식,JBD 종로빈대떡,329,30,43613,46100,23,6,0.587155963,0.008582421,0.01205704,0.056082725,0.23,0.06,4
45,주점,KMGM HOLD’EM & EVENT PUB(케이엠지엠홀드이엠앤이벤트펍),23,6,304192,129500,100,0,0.025688073,0.001479728,0.084100411,0.157542579,1,0,3
46,기타 외식,MH백년갈비,39,17,347119,109500,41,0,0.055045872,0.004735129,0.095968619,0.133211679,0.41,0,1
47,치킨,Mr.짱닭치킨,110,48,204522,38015,12,12,0.185321101,0.013909441,0.056544227,0.046246959,0.12,0.12,1
48,치킨,One&Two깻잎두마리치킨,26,17,292979,29270,100,0,0.031192661,0.004735129,0.081000306,0.035608273,1,0,3
49,치킨,one&two깻잎두마리치킨 (원앤투깻잎두마리치킨),47,20,11530,29270,100,100,0.069724771,0.005622965,0.003186918,0.035608273,1,1,0
50,기타 외국식,PHO38,58,5,172008,41572,20,100,0.089908257,0.001183782,0.047554945,0.050574209,0.2,1,0
51,패스트푸드,PIZZA BOX(피자박스),52,7,322286,29170,42,14,0.078899083,0.001775673,0.089102935,0.035486618,0.42,0.14,1
52,패스트푸드,Port' Albs 피자굼터,179,6,70217,54450,0,33,0.311926606,0.001479728,0.01941236,0.066240876,0,0.33,4
53,한식,The 진한 나주곰탕 1인용,26,49,67307,37489,100,16,0.031192661,0.014205386,0.01860782,0.045607056,1,0.16,3
54,한식,THE진국,116,76,452088,103550,27,13,0.196330275,0.022195916,0.12498984,0.125973236,0.27,0.13,1
55,기타 외식,WITCH COFFEE & Witch's Stick,70,51,53919,72400,25,25,0.111926606,0.014797277,0.014906383,0.088077859,0.25,0.25,1
56,제과제빵,WOO'Z,37,5,861763,443100,60,0,0.051376147,0.001183782,0.238254408,0.539051095,0.6,0,5
57,주점,가르텐호프앤레스트,202,63,175765,118755,0,31,0.35412844,0.018348624,0.048593659,0.144470803,0,0.31,4
58,기타 외식,가리미김밥,67,9,47014,63900,11,0,0.106422018,0.002367564,0.012997329,0.077737226,0.11,0,1
59,치킨,가마로강정,107,134,201899,36100,16,8,0.179816514,0.039360758,0.055819035,0.043917275,0.16,0.08,1
60,기타 외식,가마솥김치찜,31,2,44250,24550,100,50,0.040366972,0.000295946,0.012233154,0.02986618,1,0.5,3
61,한식,가마실감자탕,38,6,96809,85600,16,0,0.053211009,0.001479728,0.026764362,0.104136253,0.16,0,1
62,기타 외식,가마치통닭,57,398,237133,48900,55,4,0.088073394,0.117490382,0.065560328,0.059489051,0.55,0.04,3
63,기타 외식,가배두림,161,9,482881,102790,11,11,0.278899083,0.002367564,0.13350331,0.125048662,0.11,0.11,4
64,한식,가얏골감자탕,197,30,188436,116600,0,13,0.344954128,0.008582421,0.052096863,0.141849148,0,0.13,4
65,한식,가인채,95,9,953401,357500,0,66,0.157798165,0.002367564,0.263589951,0.434914842,0,0.66,5
66,한식,가장맛있는족발,98,406,551310,103200,8,3,0.163302752,0.119857946,0.152422163,0.125547445,0.08,0.03,1
67,기타 외식,가츠린,58,11,304252,156300,54,0,0.089908257,0.002959455,0.084116999,0.190145985,0.54,0,3
68,중/일식,가츠몽,105,39,231634,73500,7,10,0.176146789,0.011245931,0.064039996,0.089416058,0.07,0.1,1
69,주점,간이역,258,494,85669,33280,4,9,0.456880734,0.145901154,0.023684439,0.040486618,0.04,0.09,4
70,기타 외식,갈매기먹짱,68,29,118027,76900,6,0,0.108256881,0.008286475,0.032630591,0.093552311,0.06,0,1
71,주점,갈매기브루잉,76,5,248920,138800,0,0,0.12293578,0.001183782,0.068819129,0.168856448,0,0,1
72,한식,갈비냉면,26,21,84263,36947,100,4,0.031192661,0.005918911,0.023295716,0.044947689,1,0.04,3
73,한식,갈비만,37,7,1338760,283500,42,0,0.051376147,0.001775673,0.370131773,0.344890511,0.42,0,5
74,한식,갈비애드림,57,12,300667,89920,100,75,0.088073394,0.003255401,0.083125839,0.109391727,1,0.75,0
75,한식,갈비에 빠지다,30,6,484411,106400,83,0,0.03853211,0.001479728,0.133926315,0.129440389,0.83,0,3
76,한식,갈통삼,47,53,186212,38750,56,13,0.069724771,0.015389168,0.051481985,0.047141119,0.56,0.13,3
77,한식,감동까스,29,43,199696,20050,58,53,0.036697248,0.012429713,0.055209963,0.024391727,0.58,0.53,0
78,기타 외식,감성대패,21,7,700344,281300,100,0,0.022018349,0.001775673,0.193626219,0.342214112,1,0,5
